date,crosswikiupload_good,crosswikiupload_bad,uploadwizard_good,uploadwizard_bad,gwtoolset_good,gwtoolset_bad,vicuna_good,vicuna_bad,magnusoauth_good,magnusoauth_bad,androidapp_good,androidapp_bad,iosapp_good,iosapp_bad,other_good,other_bad
2016-07-01,675,190,6560,653,0,0,39,0,2304,4,9,0,2,0,6747,101
2016-07-02,500,212,5526,303,0,0,52,0,690,10,12,1,6,0,7834,135
2016-07-03,600,156,7308,227,0,0,281,1,1925,0,36,2,1,0,6880,101
2016-07-04,758,194,6661,467,0,0,99,0,400,1,37,0,0,0,8091,69
2016-07-05,872,210,5949,436,0,0,1609,0,1158,4,41,0,0,0,11939,58
2016-07-06,611,229,4266,391,0,0,581,0,2733,12,23,1,10,0,11262,72
2016-07-07,446,194,5849,338,0,0,133,1,2886,6,41,3,5,0,13000,71
2016-07-08,307,152,4812,350,0,0,344,0,1373,2,73,0,1,0,18459,49
2016-07-09,280,185,5516,359,0,0,341,0,3868,1,35,2,2,0,11158,69
2016-07-10,298,137,5938,557,0,0,815,0,1486,2,75,0,10,2,6128,72
2016-07-11,386,190,7003,429,0,0,146,0,1184,11,41,1,6,0,6892,58
2016-07-12,555,160,5581,595,0,0,103,3,3075,4,80,4,6,0,6960,102
2016-07-13,723,410,4331,438,0,0,119,1,2676,46,56,7,1,0,7606,55
2016-07-14,406,195,5703,431,67,0,114,0,2143,6,58,9,6,0,7087,51
2016-07-15,172,276,4913,346,0,0,190,3,6767,7,43,1,3,0,5661,52
2016-07-16,126,267,5781,404,0,0,176,1,2020,2,48,3,3,0,3970,44
2016-07-17,157,214,6520,371,0,0,85,2,4668,4,85,0,6,0,2344,72
2016-07-18,174,356,7956,538,0,0,110,0,3070,33,33,1,1,0,3138,52
2016-07-19,329,270,6951,501,75,0,391,2,3376,4,25,2,3,0,2332,70
2016-07-20,299,302,5855,509,0,0,102,0,1166,2,22,0,4,0,1479,53
2016-07-21,273,227,5407,622,0,0,100,2,814,4,63,2,3,1,1541,98
2016-07-22,279,226,4963,470,0,0,100,0,1862,5,32,3,3,0,1436,62
2016-07-23,175,155,6288,542,0,0,1030,0,2163,2,51,5,6,0,2322,56
2016-07-24,203,161,5984,344,0,0,307,0,245,1,90,14,0,0,1811,57
2016-07-25,346,214,6691,915,0,0,75,0,2201,3,41,6,0,0,1542,61
2016-07-26,349,283,6143,503,0,0,93,0,421,5,43,1,7,0,1665,75
2016-07-27,272,255,5846,458,365,0,312,21,829,14,96,3,0,0,2035,59
2016-07-28,440,172,5918,348,0,0,247,0,1503,2,105,18,7,0,1732,56
2016-07-29,371,116,5844,364,0,0,235,0,729,4,31,1,0,0,1325,54
2016-07-30,349,92,5209,312,0,0,637,0,876,2,55,8,0,0,1598,77
2016-07-31,319,84,6170,529,0,0,24,0,3102,2,187,7,11,0,2852,61
2016-08-01,400,131,6842,469,0,0,353,0,840,1,53,22,5,0,3498,137
2016-08-02,410,116,6502,631,0,0,446,0,181,8,21,5,2,0,3209,82
2016-08-03,454,137,5449,508,0,0,213,0,1127,4,61,8,1,0,2834,82
2016-08-04,315,122,5743,380,0,0,111,0,513,4,49,4,2,0,2338,87
2016-08-05,226,100,6105,450,0,0,43,0,2966,4,18,3,6,0,1890,50
2016-08-06,119,96,6075,692,0,0,115,0,1496,1,59,8,0,0,1388,41
2016-08-07,185,62,6610,944,0,0,1064,0,8435,0,20,7,1,0,2218,58
2016-08-08,292,64,5696,551,0,0,1477,11,3389,7,27,12,1,0,5857,66
2016-08-09,182,73,5910,416,0,0,538,1,1029,13,34,4,1,0,6279,49
2016-08-10,178,111,5895,586,0,0,266,0,2708,201,31,10,4,0,6872,97
2016-08-11,127,135,6337,543,0,0,235,0,4421,537,32,2,4,0,3243,34
2016-08-12,216,64,6424,397,0,0,150,0,604,1,83,9,1,0,4244,57
2016-08-13,162,41,6066,374,0,0,668,0,1438,1,137,91,10,0,3181,24
2016-08-14,139,55,7048,335,0,0,238,0,2546,717,254,8,11,0,3228,58
2016-08-15,258,47,6695,488,0,0,476,0,1491,499,44,13,1,0,5885,83
2016-08-16,218,67,6813,557,855,0,207,0,2108,2,217,4,8,0,4073,45
2016-08-17,173,48,6825,650,1115,0,166,0,783,56,39,19,9,0,3483,158
2016-08-18,112,23,7118,617,1103,0,186,0,2022,17,29,1,0,0,3750,100
2016-08-19,159,14,7493,467,0,0,55,0,617,4,33,5,24,0,3604,34
